0,1,2,3,4,5,6,7,8,9,10,11,12,y-local,predict
1719.0,1565.0,756.0,1112.0,864.0,831.0,661.0,1822.0,1442.0,1053.0,1384.0,1079.0,710.0,-2.42458,False
0.0,0.0,0.0,0.0,4548.0,17326.0,11053.0,15466.0,5654.0,0.0,0.0,0.0,0.0,-3.20299,False
0.0,0.0,20.0,20054.0,10420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.45,False
2749.0,985.0,1645.0,977.0,1333.0,630.0,806.0,1099.0,1062.0,1274.0,438.0,0.0,0.0,-6.50266,False
0.0,0.0,0.0,0.0,2513.0,10756.0,11547.0,8273.0,3110.0,0.0,0.0,0.0,0.0,-7.41996,False
1788.0,1475.0,896.0,2510.0,1738.0,1058.0,745.0,4285.0,13319.0,551.0,0.0,0.0,0.0,-7.86017,False
0.0,0.0,1.0,22111.0,58967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,False
8389.0,4258.0,5315.0,3307.0,2407.0,3694.0,5999.0,7234.0,7885.0,19590.0,5024.0,72.0,0.0,-0.312871,False
0.0,0.0,0.0,5636.0,38445.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.85,False
616.0,2092.0,1235.0,1786.0,730.0,1167.0,841.0,1108.0,2491.0,962.0,1994.0,1104.0,736.0,-2.45377,False
7890.0,2213.0,6466.0,8700.0,4122.0,2558.0,1647.0,2328.0,1506.0,0.0,0.0,0.0,0.0,-7.20906,False
1535.0,835.0,1451.0,1110.0,1580.0,1067.0,736.0,2289.0,1721.0,2164.0,854.0,701.0,1148.0,5.59967,False
5857.0,2537.0,2175.0,2241.0,2274.0,3374.0,2453.0,1889.0,444.0,0.0,0.0,0.0,0.0,-7.5176,False
1902.0,587.0,1541.0,1181.0,1328.0,1776.0,761.0,674.0,1092.0,870.0,2969.0,971.0,1278.0,0.622414,False
1591.0,1550.0,4614.0,873.0,592.0,846.0,529.0,657.0,1079.0,648.0,784.0,1012.0,781.0,-4.26956,False
